;publico;renda;ano_cinematografico;tempo_exibicao2;internacional_nacional_Nacional;genero_Animação;genero_Documentário;genero_Ficção;genero_Não Classificada;genero_Vídeomusical;distribuidoras2_major;distribuidoras2_media;distribuidoras2_menores;log_renda
1542;34358;439151.77;2015;126;1;0;0;1;0;0;0;1;0;12.992600349850633
1543;34332;453109.26;2016;210;0;0;0;1;0;0;0;0;1;13.023888567436025
1544;34247;334083.0;2010;162;0;0;0;1;0;0;0;0;1;12.719144744081095
1545;33956;253516.81;2017;144;1;0;1;0;0;0;0;0;1;12.443185411451937
1546;33906;614650.7100000001;2017;36;0;0;0;1;0;0;0;1;0;13.328809434223755
1547;33751;272790.0;2009;126;0;0;0;1;0;0;0;1;0;12.516457547388068
1548;33719;320811.96;2009;192;0;0;0;1;0;0;0;1;0;12.67861043607506
1549;33610;374600.11;2012;168;0;0;0;1;0;0;0;1;0;12.833614362638638
1550;33589;466498.16;2016;96;0;0;0;1;0;0;0;0;1;13.053009354995948
1551;33531;368150.24;2014;168;0;0;0;1;0;0;0;0;1;12.81624639470484
1552;33510;380908.36;2012;114;0;0;0;1;0;0;0;1;0;12.850314100243693
1553;33461;434613.08;2017;102;1;0;0;1;0;0;0;0;1;12.98221144299216
1554;33450;462972.27;2015;18;0;0;0;1;0;0;0;1;0;13.045422439266133
1555;33422;509571.0;2015;102;0;0;0;1;0;0;1;0;0;13.141324474242468
1556;33365;561748.54;2017;24;0;0;0;1;0;0;0;0;1;13.238809591023282
1557;33332;339567.3;2013;186;0;0;0;1;0;0;0;0;1;12.735427439030524
1558;33255;307288.57;2009;120;0;0;0;1;0;0;0;0;1;12.635542552503301
1559;33187;266545.55;2012;156;1;0;0;1;0;0;0;1;0;12.49330042730757
1560;33118;595544.76;2015;66;0;0;0;1;0;0;0;0;1;13.2972318286808
1561;33068;448465.48;2015;90;0;0;0;1;0;0;0;0;1;13.013586989848813
1562;33057;341155.61;2013;216;0;0;0;1;0;0;0;0;1;12.740093986487668
1563;33023;491255.94;2016;120;0;0;0;1;0;0;0;0;1;13.10472053369556
1564;33013;572655.51;2016;78;0;0;0;1;0;0;0;1;0;13.25803961071269
1565;32963;364046.23;2013;186;0;0;0;1;0;0;0;0;1;12.805036144048868
1566;32908;379217.12;2015;126;1;0;0;1;0;0;0;0;1;12.845864196023204
1567;32830;290297.16;2011;54;0;0;0;1;0;0;0;1;0;12.578660366981747
1568;32790;337065.0;2011;168;1;0;0;1;0;0;1;0;0;12.728031069074142
1569;32763;501934.0;2016;42;1;0;0;1;0;0;1;0;0;13.126223915926802
1570;32706;398841.67;2013;24;0;0;0;1;0;0;0;1;0;12.896319800076677
1571;32667;307187.08;2010;210;0;0;0;1;0;0;0;0;1;12.635212222079554
1572;32464;261289.89;2009;168;1;0;1;0;0;0;0;0;1;12.473385759600594
1573;32433;401525.61;2016;24;0;0;0;1;0;0;0;1;0;12.903026596137963
1574;32313;291803.76;2011;198;0;1;0;0;0;0;0;1;0;12.583836800525845
1575;32297;218162.12;2011;270;1;0;0;1;0;0;0;1;0;12.292993735110684
1576;32278;352439.52;2013;234;0;0;0;1;0;0;0;0;1;12.772634312045792
1577;32172;623273.68;2011;18;0;0;1;0;0;0;0;0;1;13.342740995048311
1578;32091;400756.1;2015;150;0;0;0;1;0;0;0;0;1;12.901108291815717
1579;32079;293131.41;2011;210;0;0;0;1;0;0;0;1;0;12.588376285747422
1580;32053;451907.65;2017;84;1;0;1;0;0;0;0;0;1;13.021233123780094
1581;32028;695557.09;2017;36;0;0;0;1;0;0;0;1;0;13.452468371807916
1582;31973;371352.4;2013;180;0;0;0;1;0;0;0;0;1;12.824906755982173
1583;31898;361303.09;2016;30;0;1;0;0;0;0;0;1;0;12.797472469548648
1584;31832;374464.04;2015;149;0;0;0;1;0;0;0;0;1;12.83325105596725
1585;31585;354462.0;2013;72;0;0;0;1;0;0;1;0;0;12.778356425978814
1586;31552;526447.06;2016;54;0;0;0;1;0;0;0;0;1;13.17390605469338
1587;31467;476420.48;2015;60;0;0;0;1;0;0;0;0;1;13.07405610462408
1588;31085;469119.49;2015;78;0;0;0;1;0;0;0;0;1;13.058612791097895
1589;30983;165133.0;2009;144;1;0;0;1;0;0;1;0;0;12.014506488796398
1590;30781;320844.21;2013;24;0;0;0;1;0;0;0;0;1;12.678710957200032
1591;30750;396386.8;2015;137;0;0;0;1;0;0;0;0;1;12.890145781186247
1592;30662;491454.28;2017;30;0;0;0;1;0;0;0;1;0;13.10512419287943
1593;30638;366794.37;2015;186;0;0;0;1;0;0;0;0;1;12.812556670282637
1594;30574;349799.35;2015;150;0;0;0;1;0;0;0;0;1;12.765114983360224
1595;30496;370679.05;2011;66;0;0;0;1;0;0;0;1;0;12.823091872839893
1596;30490;313308.81;2017;162;1;0;0;1;0;0;0;0;1;12.65494459655769
1597;30456;296444.48;2013;102;1;1;0;0;0;0;0;1;0;12.599615228621454
1598;30414;303065.0;2011;108;0;0;0;1;0;0;1;0;0;12.621702582937214
1599;30209;290793.27;2011;78;0;0;0;1;0;0;0;1;0;12.580367881320052
1600;30209;397360.64;2016;48;1;0;0;1;0;0;0;1;0;12.892599560410094
1601;30141;362537.74;2015;36;1;0;1;0;0;0;0;0;1;12.800883858202589
1602;30127;328817.61;2014;149;1;0;1;0;0;0;0;0;1;12.703258499124123
1603;30071;319879.2;2015;228;0;0;0;1;0;0;0;0;1;12.675698703504848
1604;30029;282288.06;2010;198;0;0;0;1;0;0;0;1;0;12.550683317916711
1605;29925;421006.83;2017;36;1;0;0;1;0;0;0;1;0;12.950404335810832
1606;29847;434480.32;2015;96;0;0;0;1;0;0;0;1;0;12.98190592922107
1607;29732;299350.39;2011;138;0;0;0;1;0;0;0;1;0;12.609370039175433
1608;29527;256069.73;2011;78;0;0;0;1;0;0;0;1;0;12.453205069184737
1609;29474;403811.14;2017;168;0;0;1;0;0;0;0;0;1;12.908702572395145
1610;29307;301161.55;2014;173;0;0;0;1;0;0;0;0;1;12.615402110716653
1611;29273;425323.18;2014;77;0;0;0;1;0;0;0;1;0;12.96060458246048
1612;29256;331805.03;2015;203;0;0;0;1;0;0;0;0;1;12.712302816358354
1613;29098;372467.4;2014;156;0;0;0;1;0;0;0;0;1;12.827904796193412
1614;29073;247282.58;2015;234;1;0;0;1;0;0;0;0;1;12.41828701026823
1615;28951;379618.25;2014;41;0;1;0;0;0;0;0;0;1;12.846921421485328
1616;28839;409413.16;2015;83;0;0;0;1;0;0;0;1;0;12.922480096294557
1617;28823;379123.6;2014;60;0;0;0;1;0;0;0;0;1;12.845617552270578
1618;28735;265760.39;2011;30;0;0;0;1;0;0;0;1;0;12.49035039233551
1619;28720;293328.29000000004;2015;162;0;0;0;1;0;0;0;0;1;12.589047704456657
1620;28641;471557.61;2017;102;0;0;0;1;0;0;0;0;1;13.063796558109226
1621;28594;199563.08;2011;192;1;0;0;1;0;0;0;1;0;12.203885655810572
1622;28464;379266.53;2016;132;0;0;0;1;0;0;0;0;1;12.845994482285985
1623;28411;465400.01;2015;24;0;0;0;1;0;0;0;1;0;13.05065255133722
1624;28344;449428.65;2016;36;0;0;0;1;0;0;0;1;0;13.015732388370207
1625;28211;339972.78;2013;90;0;0;0;1;0;0;0;1;0;12.736620834563936
1626;28189;249683.49;2017;192;0;0;1;0;0;0;0;0;1;12.427949354738672
1627;28112;387996.74;2016;132;0;0;0;1;0;0;0;0;1;12.868752216508257
1628;28094;341084.25;2013;120;0;0;0;1;0;0;0;0;1;12.739884793198199
1629;28092;266940.16;2011;162;0;0;0;1;0;0;0;1;0;12.494779792413592
1630;28073;345637.0;2012;78;0;0;0;1;0;0;1;0;0;12.753144370366691
1631;28017;297952.52;2013;174;0;0;0;1;0;0;0;0;1;12.60468942393429
1632;27998;373697.95;2014;150;0;0;0;1;0;0;0;0;1;12.831203129774826
1633;27869;350622.17;2014;84;0;0;0;1;0;0;0;1;0;12.767464483925277
1634;27789;440559.36;2016;90;0;0;1;0;0;0;0;0;1;12.99580047123874
1635;27726;425556.4;2014;84;0;0;0;1;0;0;0;1;0;12.961152768152845
1636;27692;254075.59;2009;90;0;0;0;1;0;0;0;1;0;12.445387100152242
1637;27672;230958.26;2009;126;1;0;1;0;0;0;0;0;1;12.349992280536355
1638;27463;469862.52;2016;42;0;0;0;1;0;0;0;1;0;13.060195420258362
1639;27408;240544.49;2010;90;1;0;1;0;0;0;0;1;0;12.390660341024475
1640;27284;501593.89;2016;126;0;0;0;1;0;0;0;0;1;13.125546087205926
1641;27275;263163.76;2009;72;0;0;0;1;0;0;0;1;0;12.48053177898356
1642;27271;344957.01;2015;54;0;0;0;1;0;0;0;1;0;12.751175079553537
1643;27236;202069.5;2010;216;0;0;1;0;0;0;0;1;0;12.216366976614419
1644;27201;367869.33;2016;138;0;0;0;1;0;0;0;0;1;12.815483072572958
1645;27177;326700.71;2012;60;0;0;0;1;0;0;0;1;0;12.696799770834428
1646;27117;397373.39;2017;96;0;0;0;1;0;0;0;0;1;12.892631646616346
1647;27099;238260.25;2011;204;0;1;0;0;0;0;0;1;0;12.381118842626703
1648;26889;437925.4;2017;66;0;0;0;1;0;0;0;1;0;12.989803855217843
1649;26751;339721.0;2015;18;0;0;0;1;0;0;1;0;0;12.735879971490226
1650;26710;346178.94;2015;138;1;0;0;1;0;0;0;1;0;12.75471108798483
1651;26655;350408.88;2017;198;1;0;1;0;0;0;0;0;1;12.766855980189012
1652;26623;243332.2;2010;126;1;0;0;1;0;0;0;0;1;12.402182866911371
1653;26550;310608.29000000004;2014;60;1;0;0;1;0;0;0;1;0;12.646287879617429
1654;26536;257213.92;2011;108;0;0;0;1;0;0;0;1;0;12.457663391187472
1655;26530;223512.71;2010;102;1;0;1;0;0;0;0;0;1;12.317223559427784
1656;26517;463565.23;2017;12;0;0;0;1;0;0;0;1;0;13.046702387635094
1657;26503;220960.94;2009;102;0;0;0;1;0;0;0;1;0;12.30574122279772
1658;26488;216410.98;2010;84;0;0;0;1;0;0;0;1;0;12.2849345640388
1659;26445;338752.19999999995;2016;48;1;0;0;1;0;0;0;1;0;12.733024145619904
1660;26421;345626.0;2016;30;0;0;0;1;0;0;1;0;0;12.753112544563773
1661;26380;79137.0;2011;66;1;0;0;1;0;0;0;0;1;11.278935806715221
1662;26247;426513.33;2014;42;0;0;0;1;0;0;0;0;1;12.96339889982171
